"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Esophagus"	"21010"	"California"	"06"	"2000"	"2000"	"Female"	"F"	300
	"Esophagus"	"21010"	"California"	"06"	"2000"	"2000"	"Male"	"M"	855
	"Esophagus"	"21010"	"California"	"06"	"2001"	"2001"	"Female"	"F"	292
	"Esophagus"	"21010"	"California"	"06"	"2001"	"2001"	"Male"	"M"	884
	"Esophagus"	"21010"	"California"	"06"	"2002"	"2002"	"Female"	"F"	282
	"Esophagus"	"21010"	"California"	"06"	"2002"	"2002"	"Male"	"M"	910
	"Esophagus"	"21010"	"California"	"06"	"2003"	"2003"	"Female"	"F"	272
	"Esophagus"	"21010"	"California"	"06"	"2003"	"2003"	"Male"	"M"	820
	"Esophagus"	"21010"	"California"	"06"	"2004"	"2004"	"Female"	"F"	295
	"Esophagus"	"21010"	"California"	"06"	"2004"	"2004"	"Male"	"M"	875
	"Esophagus"	"21010"	"California"	"06"	"2005"	"2005"	"Female"	"F"	297
	"Esophagus"	"21010"	"California"	"06"	"2005"	"2005"	"Male"	"M"	919
	"Esophagus"	"21010"	"California"	"06"	"2006"	"2006"	"Female"	"F"	282
	"Esophagus"	"21010"	"California"	"06"	"2006"	"2006"	"Male"	"M"	924
	"Esophagus"	"21010"	"California"	"06"	"2007"	"2007"	"Female"	"F"	276
	"Esophagus"	"21010"	"California"	"06"	"2007"	"2007"	"Male"	"M"	891
	"Esophagus"	"21010"	"California"	"06"	"2008"	"2008"	"Female"	"F"	271
	"Esophagus"	"21010"	"California"	"06"	"2008"	"2008"	"Male"	"M"	908
	"Esophagus"	"21010"	"California"	"06"	"2009"	"2009"	"Female"	"F"	301
	"Esophagus"	"21010"	"California"	"06"	"2009"	"2009"	"Male"	"M"	960
	"Esophagus"	"21010"	"California"	"06"	"2010"	"2010"	"Female"	"F"	277
	"Esophagus"	"21010"	"California"	"06"	"2010"	"2010"	"Male"	"M"	976
	"Esophagus"	"21010"	"California"	"06"	"2011"	"2011"	"Female"	"F"	276
	"Esophagus"	"21010"	"California"	"06"	"2011"	"2011"	"Male"	"M"	1008
	"Esophagus"	"21010"	"California"	"06"	"2012"	"2012"	"Female"	"F"	303
	"Esophagus"	"21010"	"California"	"06"	"2012"	"2012"	"Male"	"M"	1060
	"Esophagus"	"21010"	"California"	"06"	"2013"	"2013"	"Female"	"F"	272
	"Esophagus"	"21010"	"California"	"06"	"2013"	"2013"	"Male"	"M"	980
	"Esophagus"	"21010"	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	39
	"Esophagus"	"21010"	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	96
	"Esophagus"	"21010"	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	30
	"Esophagus"	"21010"	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	108
	"Esophagus"	"21010"	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	28
	"Esophagus"	"21010"	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	108
	"Esophagus"	"21010"	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	31
	"Esophagus"	"21010"	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	115
	"Esophagus"	"21010"	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	29
	"Esophagus"	"21010"	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	132
	"Esophagus"	"21010"	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	36
	"Esophagus"	"21010"	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	136
	"Esophagus"	"21010"	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	24
	"Esophagus"	"21010"	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	140
	"Esophagus"	"21010"	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	34
	"Esophagus"	"21010"	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	132
	"Esophagus"	"21010"	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	30
	"Esophagus"	"21010"	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	140
	"Esophagus"	"21010"	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	36
	"Esophagus"	"21010"	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	157
	"Esophagus"	"21010"	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	41
	"Esophagus"	"21010"	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	157
	"Esophagus"	"21010"	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	45
	"Esophagus"	"21010"	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	159
	"Esophagus"	"21010"	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	31
	"Esophagus"	"21010"	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	132
	"Esophagus"	"21010"	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	34
	"Esophagus"	"21010"	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	182
	"Esophagus"	"21010"	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	37
	"Esophagus"	"21010"	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	178
	"Esophagus"	"21010"	"Connecticut"	"09"	"1999"	"1999"	"Female"	"F"	36
	"Esophagus"	"21010"	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	120
	"Esophagus"	"21010"	"Connecticut"	"09"	"2000"	"2000"	"Female"	"F"	37
	"Esophagus"	"21010"	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	104
	"Esophagus"	"21010"	"Connecticut"	"09"	"2001"	"2001"	"Female"	"F"	54
	"Esophagus"	"21010"	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	143
	"Esophagus"	"21010"	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	39
	"Esophagus"	"21010"	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	121
	"Esophagus"	"21010"	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	42
	"Esophagus"	"21010"	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	150
	"Esophagus"	"21010"	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	38
	"Esophagus"	"21010"	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	124
	"Esophagus"	"21010"	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	43
	"Esophagus"	"21010"	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	143
	"Esophagus"	"21010"	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	27
	"Esophagus"	"21010"	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	133
	"Esophagus"	"21010"	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	49
	"Esophagus"	"21010"	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	133
	"Esophagus"	"21010"	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	35
	"Esophagus"	"21010"	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	150
	"Esophagus"	"21010"	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	46
	"Esophagus"	"21010"	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	133
	"Esophagus"	"21010"	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	39
	"Esophagus"	"21010"	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	124
	"Esophagus"	"21010"	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	36
	"Esophagus"	"21010"	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	131
	"Esophagus"	"21010"	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	33
	"Esophagus"	"21010"	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	135
	"Esophagus"	"21010"	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	40
	"Esophagus"	"21010"	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	148
	"Esophagus"	"21010"	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	22
	"Esophagus"	"21010"	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	24
	"Esophagus"	"21010"	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	35
	"Esophagus"	"21010"	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	36
	"Esophagus"	"21010"	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	31
	"Esophagus"	"21010"	"Delaware"	"10"	"2004"	"2004"	"Female"	"F"	16
	"Esophagus"	"21010"	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	45
	"Esophagus"	"21010"	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	29
	"Esophagus"	"21010"	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	36
	"Esophagus"	"21010"	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	38
	"Esophagus"	"21010"	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	35
	"Esophagus"	"21010"	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	36
	"Esophagus"	"21010"	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	30
	"Esophagus"	"21010"	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	17
	"Esophagus"	"21010"	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	39
	"Esophagus"	"21010"	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	40
	"Esophagus"	"21010"	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	36
	"Esophagus"	"21010"	"District of Columbia"	"11"	"1999"	"1999"	"Male"	"M"	35
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2000"	"2000"	"Male"	"M"	27
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2001"	"2001"	"Male"	"M"	37
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2002"	"2002"	"Male"	"M"	31
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2003"	"2003"	"Male"	"M"	23
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2004"	"2004"	"Male"	"M"	24
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2005"	"2005"	"Male"	"M"	23
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2006"	"2006"	"Male"	"M"	32
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	26
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	21
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	19
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	16
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	19
	"Esophagus"	"21010"	"Florida"	"12"	"1999"	"1999"	"Female"	"F"	198
	"Esophagus"	"21010"	"Florida"	"12"	"1999"	"1999"	"Male"	"M"	632
	"Esophagus"	"21010"	"Florida"	"12"	"2000"	"2000"	"Female"	"F"	220
	"Esophagus"	"21010"	"Florida"	"12"	"2000"	"2000"	"Male"	"M"	636
	"Esophagus"	"21010"	"Florida"	"12"	"2001"	"2001"	"Female"	"F"	213
	"Esophagus"	"21010"	"Florida"	"12"	"2001"	"2001"	"Male"	"M"	704
	"Esophagus"	"21010"	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	176
	"Esophagus"	"21010"	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	678
	"Esophagus"	"21010"	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	219
	"Esophagus"	"21010"	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	658
	"Esophagus"	"21010"	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	197
	"Esophagus"	"21010"	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	722
	"Esophagus"	"21010"	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	206
	"Esophagus"	"21010"	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	740
	"Esophagus"	"21010"	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	205
	"Esophagus"	"21010"	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	741
	"Esophagus"	"21010"	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	190
	"Esophagus"	"21010"	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	784
	"Esophagus"	"21010"	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	212
	"Esophagus"	"21010"	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	796
	"Esophagus"	"21010"	"Florida"	"12"	"2009"	"2009"	"Female"	"F"	182
	"Esophagus"	"21010"	"Florida"	"12"	"2009"	"2009"	"Male"	"M"	779
	"Esophagus"	"21010"	"Florida"	"12"	"2010"	"2010"	"Female"	"F"	225
	"Esophagus"	"21010"	"Florida"	"12"	"2010"	"2010"	"Male"	"M"	851
	"Esophagus"	"21010"	"Florida"	"12"	"2011"	"2011"	"Female"	"F"	202
	"Esophagus"	"21010"	"Florida"	"12"	"2011"	"2011"	"Male"	"M"	865
	"Esophagus"	"21010"	"Florida"	"12"	"2012"	"2012"	"Female"	"F"	214
	"Esophagus"	"21010"	"Florida"	"12"	"2012"	"2012"	"Male"	"M"	815
	"Esophagus"	"21010"	"Florida"	"12"	"2013"	"2013"	"Female"	"F"	223
	"Esophagus"	"21010"	"Florida"	"12"	"2013"	"2013"	"Male"	"M"	841
	"Esophagus"	"21010"	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	70
	"Esophagus"	"21010"	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	219
	"Esophagus"	"21010"	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	79
	"Esophagus"	"21010"	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	233
	"Esophagus"	"21010"	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	63
	"Esophagus"	"21010"	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	254
	"Esophagus"	"21010"	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	88
	"Esophagus"	"21010"	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	237
	"Esophagus"	"21010"	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	77
	"Esophagus"	"21010"	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	253
	"Esophagus"	"21010"	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	76
	"Esophagus"	"21010"	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	272
	"Esophagus"	"21010"	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	79
	"Esophagus"	"21010"	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	252
	"Esophagus"	"21010"	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	84
	"Esophagus"	"21010"	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	245
	"Esophagus"	"21010"	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	79
	"Esophagus"	"21010"	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	266
	"Esophagus"	"21010"	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	69
	"Esophagus"	"21010"	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	266
	"Esophagus"	"21010"	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	71
	"Esophagus"	"21010"	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	272
	"Esophagus"	"21010"	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	79
	"Esophagus"	"21010"	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	268
	"Esophagus"	"21010"	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	65
	"Esophagus"	"21010"	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	294
	"Esophagus"	"21010"	"Georgia"	"13"	"2012"	"2012"	"Female"	"F"	81
	"Esophagus"	"21010"	"Georgia"	"13"	"2012"	"2012"	"Male"	"M"	302
	"Esophagus"	"21010"	"Georgia"	"13"	"2013"	"2013"	"Female"	"F"	67
	"Esophagus"	"21010"	"Georgia"	"13"	"2013"	"2013"	"Male"	"M"	341
	"Esophagus"	"21010"	"Hawaii"	"15"	"1999"	"1999"	"Male"	"M"	35
	"Esophagus"	"21010"	"Hawaii"	"15"	"2000"	"2000"	"Male"	"M"	29
	"Esophagus"	"21010"	"Hawaii"	"15"	"2001"	"2001"	"Male"	"M"	32
	"Esophagus"	"21010"	"Hawaii"	"15"	"2002"	"2002"	"Male"	"M"	37
	"Esophagus"	"21010"	"Hawaii"	"15"	"2003"	"2003"	"Male"	"M"	25
	"Esophagus"	"21010"	"Hawaii"	"15"	"2004"	"2004"	"Male"	"M"	30
	"Esophagus"	"21010"	"Hawaii"	"15"	"2005"	"2005"	"Male"	"M"	21
	"Esophagus"	"21010"	"Hawaii"	"15"	"2006"	"2006"	"Male"	"M"	42
	"Esophagus"	"21010"	"Hawaii"	"15"	"2007"	"2007"	"Male"	"M"	47
	"Esophagus"	"21010"	"Hawaii"	"15"	"2008"	"2008"	"Male"	"M"	37
	"Esophagus"	"21010"	"Hawaii"	"15"	"2009"	"2009"	"Male"	"M"	43
	"Esophagus"	"21010"	"Hawaii"	"15"	"2010"	"2010"	"Male"	"M"	38
	"Esophagus"	"21010"	"Hawaii"	"15"	"2011"	"2011"	"Male"	"M"	49
	"Esophagus"	"21010"	"Hawaii"	"15"	"2012"	"2012"	"Male"	"M"	41
	"Esophagus"	"21010"	"Hawaii"	"15"	"2013"	"2013"	"Male"	"M"	40
	"Esophagus"	"21010"	"Idaho"	"16"	"1999"	"1999"	"Male"	"M"	33
	"Esophagus"	"21010"	"Idaho"	"16"	"2000"	"2000"	"Male"	"M"	34
	"Esophagus"	"21010"	"Idaho"	"16"	"2001"	"2001"	"Male"	"M"	39
	"Esophagus"	"21010"	"Idaho"	"16"	"2002"	"2002"	"Male"	"M"	51
	"Esophagus"	"21010"	"Idaho"	"16"	"2003"	"2003"	"Male"	"M"	49
	"Esophagus"	"21010"	"Idaho"	"16"	"2004"	"2004"	"Male"	"M"	45
	"Esophagus"	"21010"	"Idaho"	"16"	"2005"	"2005"	"Male"	"M"	45
	"Esophagus"	"21010"	"Idaho"	"16"	"2006"	"2006"	"Male"	"M"	63
	"Esophagus"	"21010"	"Idaho"	"16"	"2007"	"2007"	"Male"	"M"	50
	"Esophagus"	"21010"	"Idaho"	"16"	"2008"	"2008"	"Male"	"M"	58
	"Esophagus"	"21010"	"Idaho"	"16"	"2009"	"2009"	"Male"	"M"	55
	"Esophagus"	"21010"	"Idaho"	"16"	"2010"	"2010"	"Female"	"F"	17
	"Esophagus"	"21010"	"Idaho"	"16"	"2010"	"2010"	"Male"	"M"	58
	"Esophagus"	"21010"	"Idaho"	"16"	"2011"	"2011"	"Male"	"M"	56
	"Esophagus"	"21010"	"Idaho"	"16"	"2012"	"2012"	"Female"	"F"	16
	"Esophagus"	"21010"	"Idaho"	"16"	"2012"	"2012"	"Male"	"M"	55
	"Esophagus"	"21010"	"Idaho"	"16"	"2013"	"2013"	"Male"	"M"	57
	"Esophagus"	"21010"	"Illinois"	"17"	"1999"	"1999"	"Female"	"F"	111
	"Esophagus"	"21010"	"Illinois"	"17"	"1999"	"1999"	"Male"	"M"	404
	"Esophagus"	"21010"	"Illinois"	"17"	"2000"	"2000"	"Female"	"F"	151
	"Esophagus"	"21010"	"Illinois"	"17"	"2000"	"2000"	"Male"	"M"	441
	"Esophagus"	"21010"	"Illinois"	"17"	"2001"	"2001"	"Female"	"F"	137
	"Esophagus"	"21010"	"Illinois"	"17"	"2001"	"2001"	"Male"	"M"	452
	"Esophagus"	"21010"	"Illinois"	"17"	"2002"	"2002"	"Female"	"F"	147
	"Esophagus"	"21010"	"Illinois"	"17"	"2002"	"2002"	"Male"	"M"	417
	"Esophagus"	"21010"	"Illinois"	"17"	"2003"	"2003"	"Female"	"F"	131
	"Esophagus"	"21010"	"Illinois"	"17"	"2003"	"2003"	"Male"	"M"	431
	"Esophagus"	"21010"	"Illinois"	"17"	"2004"	"2004"	"Female"	"F"	136
	"Esophagus"	"21010"	"Illinois"	"17"	"2004"	"2004"	"Male"	"M"	425
	"Esophagus"	"21010"	"Illinois"	"17"	"2005"	"2005"	"Female"	"F"	120
	"Esophagus"	"21010"	"Illinois"	"17"	"2005"	"2005"	"Male"	"M"	487
	"Esophagus"	"21010"	"Illinois"	"17"	"2006"	"2006"	"Female"	"F"	134
	"Esophagus"	"21010"	"Illinois"	"17"	"2006"	"2006"	"Male"	"M"	434
	"Esophagus"	"21010"	"Illinois"	"17"	"2007"	"2007"	"Female"	"F"	129
	"Esophagus"	"21010"	"Illinois"	"17"	"2007"	"2007"	"Male"	"M"	489
	"Esophagus"	"21010"	"Illinois"	"17"	"2008"	"2008"	"Female"	"F"	132
	"Esophagus"	"21010"	"Illinois"	"17"	"2008"	"2008"	"Male"	"M"	501
	"Esophagus"	"21010"	"Illinois"	"17"	"2009"	"2009"	"Female"	"F"	114
	"Esophagus"	"21010"	"Illinois"	"17"	"2009"	"2009"	"Male"	"M"	488
	"Esophagus"	"21010"	"Illinois"	"17"	"2010"	"2010"	"Female"	"F"	148
	"Esophagus"	"21010"	"Illinois"	"17"	"2010"	"2010"	"Male"	"M"	474
	"Esophagus"	"21010"	"Illinois"	"17"	"2011"	"2011"	"Female"	"F"	123
	"Esophagus"	"21010"	"Illinois"	"17"	"2011"	"2011"	"Male"	"M"	465
	"Esophagus"	"21010"	"Illinois"	"17"	"2012"	"2012"	"Female"	"F"	143
	"Esophagus"	"21010"	"Illinois"	"17"	"2012"	"2012"	"Male"	"M"	488
	"Esophagus"	"21010"	"Illinois"	"17"	"2013"	"2013"	"Female"	"F"	139
	"Esophagus"	"21010"	"Illinois"	"17"	"2013"	"2013"	"Male"	"M"	507
	"Esophagus"	"21010"	"Indiana"	"18"	"1999"	"1999"	"Female"	"F"	71
	"Esophagus"	"21010"	"Indiana"	"18"	"1999"	"1999"	"Male"	"M"	218
	"Esophagus"	"21010"	"Indiana"	"18"	"2000"	"2000"	"Female"	"F"	64
	"Esophagus"	"21010"	"Indiana"	"18"	"2000"	"2000"	"Male"	"M"	236
	"Esophagus"	"21010"	"Indiana"	"18"	"2001"	"2001"	"Female"	"F"	64
	"Esophagus"	"21010"	"Indiana"	"18"	"2001"	"2001"	"Male"	"M"	238
	"Esophagus"	"21010"	"Indiana"	"18"	"2002"	"2002"	"Female"	"F"	64
	"Esophagus"	"21010"	"Indiana"	"18"	"2002"	"2002"	"Male"	"M"	216
	"Esophagus"	"21010"	"Indiana"	"18"	"2003"	"2003"	"Female"	"F"	61
	"Esophagus"	"21010"	"Indiana"	"18"	"2003"	"2003"	"Male"	"M"	225
	"Esophagus"	"21010"	"Indiana"	"18"	"2004"	"2004"	"Female"	"F"	71
	"Esophagus"	"21010"	"Indiana"	"18"	"2004"	"2004"	"Male"	"M"	227
	"Esophagus"	"21010"	"Indiana"	"18"	"2005"	"2005"	"Female"	"F"	54
	"Esophagus"	"21010"	"Indiana"	"18"	"2005"	"2005"	"Male"	"M"	217
	"Esophagus"	"21010"	"Indiana"	"18"	"2006"	"2006"	"Female"	"F"	67
	"Esophagus"	"21010"	"Indiana"	"18"	"2006"	"2006"	"Male"	"M"	269
	"Esophagus"	"21010"	"Indiana"	"18"	"2007"	"2007"	"Female"	"F"	59
	"Esophagus"	"21010"	"Indiana"	"18"	"2007"	"2007"	"Male"	"M"	281
	"Esophagus"	"21010"	"Indiana"	"18"	"2008"	"2008"	"Female"	"F"	61
	"Esophagus"	"21010"	"Indiana"	"18"	"2008"	"2008"	"Male"	"M"	267
	"Esophagus"	"21010"	"Indiana"	"18"	"2009"	"2009"	"Female"	"F"	71
	"Esophagus"	"21010"	"Indiana"	"18"	"2009"	"2009"	"Male"	"M"	275
	"Esophagus"	"21010"	"Indiana"	"18"	"2010"	"2010"	"Female"	"F"	69
	"Esophagus"	"21010"	"Indiana"	"18"	"2010"	"2010"	"Male"	"M"	304
	"Esophagus"	"21010"	"Indiana"	"18"	"2011"	"2011"	"Female"	"F"	63
	"Esophagus"	"21010"	"Indiana"	"18"	"2011"	"2011"	"Male"	"M"	299
	"Esophagus"	"21010"	"Indiana"	"18"	"2012"	"2012"	"Female"	"F"	75
	"Esophagus"	"21010"	"Indiana"	"18"	"2012"	"2012"	"Male"	"M"	280
	"Esophagus"	"21010"	"Indiana"	"18"	"2013"	"2013"	"Female"	"F"	73
	"Esophagus"	"21010"	"Indiana"	"18"	"2013"	"2013"	"Male"	"M"	284
	"Esophagus"	"21010"	"Iowa"	"19"	"1999"	"1999"	"Female"	"F"	35
	"Esophagus"	"21010"	"Iowa"	"19"	"1999"	"1999"	"Male"	"M"	98
	"Esophagus"	"21010"	"Iowa"	"19"	"2000"	"2000"	"Female"	"F"	36
	"Esophagus"	"21010"	"Iowa"	"19"	"2000"	"2000"	"Male"	"M"	105
	"Esophagus"	"21010"	"Iowa"	"19"	"2001"	"2001"	"Female"	"F"	35
	"Esophagus"	"21010"	"Iowa"	"19"	"2001"	"2001"	"Male"	"M"	113
	"Esophagus"	"21010"	"Iowa"	"19"	"2002"	"2002"	"Female"	"F"	36
	"Esophagus"	"21010"	"Iowa"	"19"	"2002"	"2002"	"Male"	"M"	134
	"Esophagus"	"21010"	"Iowa"	"19"	"2003"	"2003"	"Female"	"F"	40
	"Esophagus"	"21010"	"Iowa"	"19"	"2003"	"2003"	"Male"	"M"	120
	"Esophagus"	"21010"	"Iowa"	"19"	"2004"	"2004"	"Female"	"F"	25
	"Esophagus"	"21010"	"Iowa"	"19"	"2004"	"2004"	"Male"	"M"	122
	"Esophagus"	"21010"	"Iowa"	"19"	"2005"	"2005"	"Female"	"F"	31
	"Esophagus"	"21010"	"Iowa"	"19"	"2005"	"2005"	"Male"	"M"	138
	"Esophagus"	"21010"	"Iowa"	"19"	"2006"	"2006"	"Female"	"F"	42
	"Esophagus"	"21010"	"Iowa"	"19"	"2006"	"2006"	"Male"	"M"	140
	"Esophagus"	"21010"	"Iowa"	"19"	"2007"	"2007"	"Female"	"F"	32
	"Esophagus"	"21010"	"Iowa"	"19"	"2007"	"2007"	"Male"	"M"	128
	"Esophagus"	"21010"	"Iowa"	"19"	"2008"	"2008"	"Female"	"F"	32
	"Esophagus"	"21010"	"Iowa"	"19"	"2008"	"2008"	"Male"	"M"	142
	"Esophagus"	"21010"	"Iowa"	"19"	"2009"	"2009"	"Female"	"F"	30
	"Esophagus"	"21010"	"Iowa"	"19"	"2009"	"2009"	"Male"	"M"	118
	"Esophagus"	"21010"	"Iowa"	"19"	"2010"	"2010"	"Female"	"F"	23
	"Esophagus"	"21010"	"Iowa"	"19"	"2010"	"2010"	"Male"	"M"	168
	"Esophagus"	"21010"	"Iowa"	"19"	"2011"	"2011"	"Female"	"F"	27
	"Esophagus"	"21010"	"Iowa"	"19"	"2011"	"2011"	"Male"	"M"	156
	"Esophagus"	"21010"	"Iowa"	"19"	"2012"	"2012"	"Female"	"F"	40
	"Esophagus"	"21010"	"Iowa"	"19"	"2012"	"2012"	"Male"	"M"	138
	"Esophagus"	"21010"	"Iowa"	"19"	"2013"	"2013"	"Female"	"F"	28
	"Esophagus"	"21010"	"Iowa"	"19"	"2013"	"2013"	"Male"	"M"	133
	"Esophagus"	"21010"	"Kansas"	"20"	"1999"	"1999"	"Female"	"F"	26
	"Esophagus"	"21010"	"Kansas"	"20"	"1999"	"1999"	"Male"	"M"	103
	"Esophagus"	"21010"	"Kansas"	"20"	"2000"	"2000"	"Female"	"F"	28
