"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2009"	"2009"	"White"	"2106-3"	167
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2010"	"2010"	"White"	"2106-3"	169
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2011"	"2011"	"White"	"2106-3"	189
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2012"	"2012"	"White"	"2106-3"	158
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2013"	"2013"	"White"	"2106-3"	178
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"1999"	"1999"	"Black or African American"	"2054-5"	43
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"1999"	"1999"	"White"	"2106-3"	532
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2000"	"2000"	"Black or African American"	"2054-5"	46
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2000"	"2000"	"White"	"2106-3"	557
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2001"	"2001"	"Black or African American"	"2054-5"	49
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2001"	"2001"	"White"	"2106-3"	567
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2002"	"2002"	"Black or African American"	"2054-5"	43
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2002"	"2002"	"White"	"2106-3"	591
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2003"	"2003"	"Black or African American"	"2054-5"	48
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2003"	"2003"	"White"	"2106-3"	587
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2004"	"2004"	"Black or African American"	"2054-5"	48
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2004"	"2004"	"White"	"2106-3"	585
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2005"	"2005"	"Black or African American"	"2054-5"	49
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2005"	"2005"	"White"	"2106-3"	602
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2006"	"2006"	"Black or African American"	"2054-5"	51
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2006"	"2006"	"White"	"2106-3"	586
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2007"	"2007"	"Black or African American"	"2054-5"	37
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2007"	"2007"	"White"	"2106-3"	534
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2008"	"2008"	"Black or African American"	"2054-5"	42
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2008"	"2008"	"White"	"2106-3"	564
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2009"	"2009"	"Black or African American"	"2054-5"	42
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2009"	"2009"	"White"	"2106-3"	606
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2010"	"2010"	"Black or African American"	"2054-5"	40
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2010"	"2010"	"White"	"2106-3"	588
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2011"	"2011"	"Black or African American"	"2054-5"	49
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2011"	"2011"	"White"	"2106-3"	594
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2012"	"2012"	"Black or African American"	"2054-5"	53
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2012"	"2012"	"White"	"2106-3"	601
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2013"	"2013"	"Black or African American"	"2054-5"	59
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2013"	"2013"	"White"	"2106-3"	563
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"1999"	"1999"	"White"	"2106-3"	61
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2000"	"2000"	"White"	"2106-3"	56
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2001"	"2001"	"White"	"2106-3"	53
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2002"	"2002"	"White"	"2106-3"	66
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2003"	"2003"	"White"	"2106-3"	58
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2004"	"2004"	"White"	"2106-3"	55
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2005"	"2005"	"White"	"2106-3"	45
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2006"	"2006"	"White"	"2106-3"	52
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2007"	"2007"	"White"	"2106-3"	41
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2008"	"2008"	"White"	"2106-3"	35
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2009"	"2009"	"White"	"2106-3"	59
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2010"	"2010"	"White"	"2106-3"	38
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2011"	"2011"	"White"	"2106-3"	47
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2012"	"2012"	"White"	"2106-3"	41
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2013"	"2013"	"White"	"2106-3"	54
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"1999"	"1999"	"Black or African American"	"2054-5"	37
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"1999"	"1999"	"White"	"2106-3"	120
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2000"	"2000"	"Black or African American"	"2054-5"	37
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2000"	"2000"	"White"	"2106-3"	145
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2001"	"2001"	"Black or African American"	"2054-5"	39
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2001"	"2001"	"White"	"2106-3"	125
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2002"	"2002"	"Black or African American"	"2054-5"	35
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2002"	"2002"	"White"	"2106-3"	138
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2003"	"2003"	"Black or African American"	"2054-5"	32
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2003"	"2003"	"White"	"2106-3"	142
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2004"	"2004"	"Black or African American"	"2054-5"	41
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2004"	"2004"	"White"	"2106-3"	144
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2005"	"2005"	"Black or African American"	"2054-5"	45
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2005"	"2005"	"White"	"2106-3"	150
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2006"	"2006"	"Black or African American"	"2054-5"	48
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2006"	"2006"	"White"	"2106-3"	126
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2007"	"2007"	"Black or African American"	"2054-5"	62
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2007"	"2007"	"White"	"2106-3"	158
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2008"	"2008"	"Black or African American"	"2054-5"	61
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2008"	"2008"	"White"	"2106-3"	167
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2009"	"2009"	"Black or African American"	"2054-5"	54
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2009"	"2009"	"White"	"2106-3"	150
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2010"	"2010"	"Black or African American"	"2054-5"	35
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2010"	"2010"	"White"	"2106-3"	146
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2011"	"2011"	"Black or African American"	"2054-5"	53
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2011"	"2011"	"White"	"2106-3"	156
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2012"	"2012"	"Black or African American"	"2054-5"	47
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2012"	"2012"	"White"	"2106-3"	182
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2013"	"2013"	"Black or African American"	"2054-5"	41
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2013"	"2013"	"White"	"2106-3"	189
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"1999"	"1999"	"White"	"2106-3"	33
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2000"	"2000"	"White"	"2106-3"	35
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2001"	"2001"	"White"	"2106-3"	39
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2002"	"2002"	"White"	"2106-3"	33
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2003"	"2003"	"White"	"2106-3"	36
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2004"	"2004"	"White"	"2106-3"	43
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2005"	"2005"	"White"	"2106-3"	39
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2006"	"2006"	"White"	"2106-3"	44
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2007"	"2007"	"White"	"2106-3"	40
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2008"	"2008"	"White"	"2106-3"	31
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2009"	"2009"	"White"	"2106-3"	39
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2010"	"2010"	"White"	"2106-3"	33
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2011"	"2011"	"White"	"2106-3"	50
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2012"	"2012"	"White"	"2106-3"	46
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2013"	"2013"	"White"	"2106-3"	42
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"1999"	"1999"	"Black or African American"	"2054-5"	26
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"1999"	"1999"	"White"	"2106-3"	211
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2000"	"2000"	"Black or African American"	"2054-5"	25
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2000"	"2000"	"White"	"2106-3"	224
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2001"	"2001"	"Black or African American"	"2054-5"	37
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2001"	"2001"	"White"	"2106-3"	210
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2002"	"2002"	"Black or African American"	"2054-5"	38
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2002"	"2002"	"White"	"2106-3"	229
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2003"	"2003"	"Black or African American"	"2054-5"	36
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2003"	"2003"	"White"	"2106-3"	233
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2004"	"2004"	"Black or African American"	"2054-5"	33
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2004"	"2004"	"White"	"2106-3"	238
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2005"	"2005"	"Black or African American"	"2054-5"	39
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2005"	"2005"	"White"	"2106-3"	225
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2006"	"2006"	"Black or African American"	"2054-5"	31
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2006"	"2006"	"White"	"2106-3"	249
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2007"	"2007"	"Black or African American"	"2054-5"	38
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2007"	"2007"	"White"	"2106-3"	247
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2008"	"2008"	"Black or African American"	"2054-5"	38
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2008"	"2008"	"White"	"2106-3"	249
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2009"	"2009"	"Black or African American"	"2054-5"	45
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2009"	"2009"	"White"	"2106-3"	246
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2010"	"2010"	"Black or African American"	"2054-5"	28
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2010"	"2010"	"White"	"2106-3"	259
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2011"	"2011"	"Black or African American"	"2054-5"	41
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2011"	"2011"	"White"	"2106-3"	275
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2012"	"2012"	"Black or African American"	"2054-5"	26
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2012"	"2012"	"White"	"2106-3"	263
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2013"	"2013"	"Black or African American"	"2054-5"	29
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2013"	"2013"	"White"	"2106-3"	333
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"1999"	"1999"	"Black or African American"	"2054-5"	80
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"1999"	"1999"	"White"	"2106-3"	664
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2000"	"2000"	"Black or African American"	"2054-5"	85
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2000"	"2000"	"White"	"2106-3"	786
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2001"	"2001"	"Black or African American"	"2054-5"	98
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2001"	"2001"	"White"	"2106-3"	775
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2002"	"2002"	"Black or African American"	"2054-5"	81
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2002"	"2002"	"White"	"2106-3"	815
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2003"	"2003"	"Black or African American"	"2054-5"	90
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2003"	"2003"	"White"	"2106-3"	817
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2004"	"2004"	"Black or African American"	"2054-5"	65
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2004"	"2004"	"White"	"2106-3"	797
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2005"	"2005"	"Black or African American"	"2054-5"	97
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2005"	"2005"	"White"	"2106-3"	817
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2006"	"2006"	"Black or African American"	"2054-5"	87
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2006"	"2006"	"White"	"2106-3"	831
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2007"	"2007"	"Black or African American"	"2054-5"	93
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2007"	"2007"	"White"	"2106-3"	833
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2008"	"2008"	"Black or African American"	"2054-5"	82
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2008"	"2008"	"White"	"2106-3"	887
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2009"	"2009"	"Black or African American"	"2054-5"	105
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2009"	"2009"	"White"	"2106-3"	842
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2010"	"2010"	"Black or African American"	"2054-5"	95
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2010"	"2010"	"White"	"2106-3"	915
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	20
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2011"	"2011"	"Black or African American"	"2054-5"	106
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2011"	"2011"	"White"	"2106-3"	923
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2012"	"2012"	"Black or African American"	"2054-5"	120
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2012"	"2012"	"White"	"2106-3"	983
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2013"	"2013"	"Black or African American"	"2054-5"	83
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2013"	"2013"	"White"	"2106-3"	1016
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"1999"	"1999"	"White"	"2106-3"	36
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2000"	"2000"	"White"	"2106-3"	51
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2001"	"2001"	"White"	"2106-3"	36
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2002"	"2002"	"White"	"2106-3"	57
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2003"	"2003"	"White"	"2106-3"	57
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2004"	"2004"	"White"	"2106-3"	48
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2005"	"2005"	"White"	"2106-3"	70
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2006"	"2006"	"White"	"2106-3"	64
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2007"	"2007"	"White"	"2106-3"	54
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2008"	"2008"	"White"	"2106-3"	62
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2009"	"2009"	"White"	"2106-3"	57
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2010"	"2010"	"White"	"2106-3"	92
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2011"	"2011"	"White"	"2106-3"	85
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2012"	"2012"	"White"	"2106-3"	71
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2013"	"2013"	"White"	"2106-3"	74
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"1999"	"1999"	"White"	"2106-3"	25
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2000"	"2000"	"White"	"2106-3"	34
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2001"	"2001"	"White"	"2106-3"	20
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2002"	"2002"	"White"	"2106-3"	21
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2003"	"2003"	"White"	"2106-3"	24
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2004"	"2004"	"White"	"2106-3"	33
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2005"	"2005"	"White"	"2106-3"	32
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2006"	"2006"	"White"	"2106-3"	21
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2007"	"2007"	"White"	"2106-3"	28
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2008"	"2008"	"White"	"2106-3"	27
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2009"	"2009"	"White"	"2106-3"	26
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2010"	"2010"	"White"	"2106-3"	29
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2011"	"2011"	"White"	"2106-3"	23
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2012"	"2012"	"White"	"2106-3"	29
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2013"	"2013"	"White"	"2106-3"	22
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"1999"	"1999"	"Black or African American"	"2054-5"	52
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"1999"	"1999"	"White"	"2106-3"	231
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2000"	"2000"	"Black or African American"	"2054-5"	52
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2000"	"2000"	"White"	"2106-3"	210
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2001"	"2001"	"Black or African American"	"2054-5"	56
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2001"	"2001"	"White"	"2106-3"	211
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2002"	"2002"	"Black or African American"	"2054-5"	50
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2002"	"2002"	"White"	"2106-3"	245
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2003"	"2003"	"Black or African American"	"2054-5"	49
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2003"	"2003"	"White"	"2106-3"	235
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2004"	"2004"	"Black or African American"	"2054-5"	42
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2004"	"2004"	"White"	"2106-3"	221
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2005"	"2005"	"Black or African American"	"2054-5"	49
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2005"	"2005"	"White"	"2106-3"	239
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2006"	"2006"	"Black or African American"	"2054-5"	58
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2006"	"2006"	"White"	"2106-3"	227
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2007"	"2007"	"Black or African American"	"2054-5"	48
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2007"	"2007"	"White"	"2106-3"	249
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2008"	"2008"	"Black or African American"	"2054-5"	60
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2008"	"2008"	"White"	"2106-3"	252
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2009"	"2009"	"Black or African American"	"2054-5"	62
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2009"	"2009"	"White"	"2106-3"	257
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2010"	"2010"	"Black or African American"	"2054-5"	58
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2010"	"2010"	"White"	"2106-3"	250
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2011"	"2011"	"Black or African American"	"2054-5"	64
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2011"	"2011"	"White"	"2106-3"	241
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2012"	"2012"	"Black or African American"	"2054-5"	54
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2012"	"2012"	"White"	"2106-3"	247
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2013"	"2013"	"Black or African American"	"2054-5"	48
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2013"	"2013"	"White"	"2106-3"	260
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"1999"	"1999"	"White"	"2106-3"	221
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2000"	"2000"	"White"	"2106-3"	232
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2001"	"2001"	"White"	"2106-3"	234
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2002"	"2002"	"White"	"2106-3"	243
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2003"	"2003"	"White"	"2106-3"	219
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2004"	"2004"	"White"	"2106-3"	251
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2005"	"2005"	"White"	"2106-3"	245
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2006"	"2006"	"White"	"2106-3"	213
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2007"	"2007"	"White"	"2106-3"	249
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2008"	"2008"	"White"	"2106-3"	258
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2009"	"2009"	"White"	"2106-3"	237
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2010"	"2010"	"White"	"2106-3"	257
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2011"	"2011"	"White"	"2106-3"	258
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2012"	"2012"	"White"	"2106-3"	273
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2013"	"2013"	"White"	"2106-3"	257
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"1999"	"1999"	"White"	"2106-3"	89
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2000"	"2000"	"White"	"2106-3"	87
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2001"	"2001"	"White"	"2106-3"	92
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2002"	"2002"	"White"	"2106-3"	100
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2003"	"2003"	"White"	"2106-3"	84
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2004"	"2004"	"White"	"2106-3"	98
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2005"	"2005"	"White"	"2106-3"	101
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2006"	"2006"	"White"	"2106-3"	97
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2007"	"2007"	"White"	"2106-3"	106
