"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2008"	"2008"	"White"	"2106-3"	58
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2009"	"2009"	"White"	"2106-3"	83
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2010"	"2010"	"White"	"2106-3"	64
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2011"	"2011"	"White"	"2106-3"	54
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2012"	"2012"	"White"	"2106-3"	37
	"Breast"	"26000"	" Boise City, ID  "	"14260"	"2013"	"2013"	"White"	"2106-3"	73
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	"Black or African American"	"2054-5"	23
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	"White"	"2106-3"	659
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	"Black or African American"	"2054-5"	32
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	"White"	"2106-3"	655
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	"Black or African American"	"2054-5"	33
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	"White"	"2106-3"	648
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	"Black or African American"	"2054-5"	34
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	"White"	"2106-3"	678
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	"Black or African American"	"2054-5"	51
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	"White"	"2106-3"	604
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	"Black or African American"	"2054-5"	27
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	"White"	"2106-3"	603
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	"Black or African American"	"2054-5"	42
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	"White"	"2106-3"	582
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	"Black or African American"	"2054-5"	53
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	"White"	"2106-3"	595
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	"Black or African American"	"2054-5"	33
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	"White"	"2106-3"	491
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	"Black or African American"	"2054-5"	47
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	"White"	"2106-3"	557
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	"Black or African American"	"2054-5"	44
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	"White"	"2106-3"	575
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	"Black or African American"	"2054-5"	28
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	"White"	"2106-3"	504
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	"Black or African American"	"2054-5"	43
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	"White"	"2106-3"	540
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	"Black or African American"	"2054-5"	34
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	"White"	"2106-3"	534
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	"Black or African American"	"2054-5"	33
	"Breast"	"26000"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	"White"	"2106-3"	506
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"1999"	"1999"	"White"	"2106-3"	122
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	"White"	"2106-3"	129
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2001"	"2001"	"White"	"2106-3"	150
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	"Black or African American"	"2054-5"	17
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	"White"	"2106-3"	137
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2003"	"2003"	"White"	"2106-3"	123
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2004"	"2004"	"White"	"2106-3"	113
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	"White"	"2106-3"	106
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	"White"	"2106-3"	123
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	"White"	"2106-3"	100
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	"Black or African American"	"2054-5"	17
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	"White"	"2106-3"	94
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2009"	"2009"	"White"	"2106-3"	101
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	"Black or African American"	"2054-5"	19
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	"White"	"2106-3"	110
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	"White"	"2106-3"	118
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2012"	"2012"	"White"	"2106-3"	100
	"Breast"	"26000"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	"White"	"2106-3"	84
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	"White"	"2106-3"	199
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	"Black or African American"	"2054-5"	25
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	"White"	"2106-3"	208
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2001"	"2001"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2001"	"2001"	"White"	"2106-3"	223
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2002"	"2002"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2002"	"2002"	"White"	"2106-3"	203
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2003"	"2003"	"Black or African American"	"2054-5"	19
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2003"	"2003"	"White"	"2106-3"	220
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2004"	"2004"	"Black or African American"	"2054-5"	26
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2004"	"2004"	"White"	"2106-3"	180
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2005"	"2005"	"Black or African American"	"2054-5"	23
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2005"	"2005"	"White"	"2106-3"	172
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2006"	"2006"	"Black or African American"	"2054-5"	24
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2006"	"2006"	"White"	"2106-3"	175
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2007"	"2007"	"Black or African American"	"2054-5"	27
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2007"	"2007"	"White"	"2106-3"	222
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2008"	"2008"	"Black or African American"	"2054-5"	24
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2008"	"2008"	"White"	"2106-3"	172
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2009"	"2009"	"Black or African American"	"2054-5"	32
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2009"	"2009"	"White"	"2106-3"	174
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2010"	"2010"	"Black or African American"	"2054-5"	35
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2010"	"2010"	"White"	"2106-3"	174
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2011"	"2011"	"Black or African American"	"2054-5"	27
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2011"	"2011"	"White"	"2106-3"	186
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2012"	"2012"	"Black or African American"	"2054-5"	21
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2012"	"2012"	"White"	"2106-3"	181
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2013"	"2013"	"Black or African American"	"2054-5"	25
	"Breast"	"26000"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2013"	"2013"	"White"	"2106-3"	180
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"1999"	"1999"	"White"	"2106-3"	64
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2000"	"2000"	"White"	"2106-3"	66
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2001"	"2001"	"White"	"2106-3"	66
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2002"	"2002"	"White"	"2106-3"	90
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2003"	"2003"	"White"	"2106-3"	81
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2004"	"2004"	"White"	"2106-3"	89
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2005"	"2005"	"White"	"2106-3"	62
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2006"	"2006"	"White"	"2106-3"	81
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2007"	"2007"	"White"	"2106-3"	86
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2008"	"2008"	"White"	"2106-3"	81
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2009"	"2009"	"White"	"2106-3"	78
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2010"	"2010"	"White"	"2106-3"	75
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2011"	"2011"	"White"	"2106-3"	105
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2012"	"2012"	"White"	"2106-3"	73
	"Breast"	"26000"	" Cape Coral-Fort Myers, FL  "	"15980"	"2013"	"2013"	"White"	"2106-3"	82
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"1999"	"1999"	"Black or African American"	"2054-5"	18
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"1999"	"1999"	"White"	"2106-3"	41
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2000"	"2000"	"Black or African American"	"2054-5"	29
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2000"	"2000"	"White"	"2106-3"	51
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2001"	"2001"	"Black or African American"	"2054-5"	31
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2001"	"2001"	"White"	"2106-3"	37
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2002"	"2002"	"Black or African American"	"2054-5"	24
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2002"	"2002"	"White"	"2106-3"	50
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2003"	"2003"	"Black or African American"	"2054-5"	16
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2003"	"2003"	"White"	"2106-3"	32
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2004"	"2004"	"Black or African American"	"2054-5"	27
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2004"	"2004"	"White"	"2106-3"	36
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2005"	"2005"	"Black or African American"	"2054-5"	33
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2005"	"2005"	"White"	"2106-3"	43
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2006"	"2006"	"Black or African American"	"2054-5"	28
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2006"	"2006"	"White"	"2106-3"	58
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2007"	"2007"	"Black or African American"	"2054-5"	22
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2007"	"2007"	"White"	"2106-3"	49
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2008"	"2008"	"Black or African American"	"2054-5"	30
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2008"	"2008"	"White"	"2106-3"	47
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2009"	"2009"	"Black or African American"	"2054-5"	21
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2009"	"2009"	"White"	"2106-3"	50
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2010"	"2010"	"Black or African American"	"2054-5"	23
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2010"	"2010"	"White"	"2106-3"	60
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2011"	"2011"	"Black or African American"	"2054-5"	26
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2011"	"2011"	"White"	"2106-3"	64
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2012"	"2012"	"Black or African American"	"2054-5"	24
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2012"	"2012"	"White"	"2106-3"	43
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2013"	"2013"	"Black or African American"	"2054-5"	32
	"Breast"	"26000"	" Charleston-North Charleston, SC  "	"16700"	"2013"	"2013"	"White"	"2106-3"	43
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"1999"	"1999"	"Black or African American"	"2054-5"	49
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"1999"	"1999"	"White"	"2106-3"	165
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2000"	"2000"	"Black or African American"	"2054-5"	51
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2000"	"2000"	"White"	"2106-3"	173
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2001"	"2001"	"Black or African American"	"2054-5"	45
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2001"	"2001"	"White"	"2106-3"	176
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2002"	"2002"	"Black or African American"	"2054-5"	43
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2002"	"2002"	"White"	"2106-3"	166
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2003"	"2003"	"Black or African American"	"2054-5"	52
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2003"	"2003"	"White"	"2106-3"	182
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2004"	"2004"	"Black or African American"	"2054-5"	49
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2004"	"2004"	"White"	"2106-3"	202
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2005"	"2005"	"Black or African American"	"2054-5"	58
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2005"	"2005"	"White"	"2106-3"	178
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2006"	"2006"	"Black or African American"	"2054-5"	45
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2006"	"2006"	"White"	"2106-3"	173
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2007"	"2007"	"Black or African American"	"2054-5"	65
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2007"	"2007"	"White"	"2106-3"	173
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2008"	"2008"	"Black or African American"	"2054-5"	59
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2008"	"2008"	"White"	"2106-3"	207
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2009"	"2009"	"Black or African American"	"2054-5"	65
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2009"	"2009"	"White"	"2106-3"	195
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2010"	"2010"	"Black or African American"	"2054-5"	66
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2010"	"2010"	"White"	"2106-3"	203
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2011"	"2011"	"Black or African American"	"2054-5"	97
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2011"	"2011"	"White"	"2106-3"	205
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2012"	"2012"	"Black or African American"	"2054-5"	63
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2012"	"2012"	"White"	"2106-3"	186
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2013"	"2013"	"Black or African American"	"2054-5"	71
	"Breast"	"26000"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2013"	"2013"	"White"	"2106-3"	209
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"1999"	"1999"	"White"	"2106-3"	72
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2000"	"2000"	"White"	"2106-3"	80
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2001"	"2001"	"Black or African American"	"2054-5"	17
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2001"	"2001"	"White"	"2106-3"	68
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2002"	"2002"	"White"	"2106-3"	74
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2003"	"2003"	"White"	"2106-3"	61
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2004"	"2004"	"White"	"2106-3"	62
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2005"	"2005"	"Black or African American"	"2054-5"	18
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2005"	"2005"	"White"	"2106-3"	78
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2006"	"2006"	"White"	"2106-3"	70
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2007"	"2007"	"White"	"2106-3"	46
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2008"	"2008"	"White"	"2106-3"	60
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2009"	"2009"	"White"	"2106-3"	70
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2010"	"2010"	"White"	"2106-3"	67
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2011"	"2011"	"White"	"2106-3"	57
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2012"	"2012"	"White"	"2106-3"	75
	"Breast"	"26000"	" Chattanooga, TN-GA  "	"16860"	"2013"	"2013"	"White"	"2106-3"	80
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	24
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"Black or African American"	"2054-5"	334
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"White"	"2106-3"	1081
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"Black or African American"	"2054-5"	316
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"White"	"2106-3"	1119
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	23
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"Black or African American"	"2054-5"	310
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"White"	"2106-3"	1052
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	22
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"Black or African American"	"2054-5"	322
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"White"	"2106-3"	1028
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	30
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"Black or African American"	"2054-5"	334
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"White"	"2106-3"	1006
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	30
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"Black or African American"	"2054-5"	335
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"White"	"2106-3"	952
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	30
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"Black or African American"	"2054-5"	346
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"White"	"2106-3"	936
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	17
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"Black or African American"	"2054-5"	303
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"White"	"2106-3"	968
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	22
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"Black or African American"	"2054-5"	321
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"White"	"2106-3"	955
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	31
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"Black or African American"	"2054-5"	291
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"White"	"2106-3"	975
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	21
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"Black or African American"	"2054-5"	279
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"White"	"2106-3"	956
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	32
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"Black or African American"	"2054-5"	300
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"White"	"2106-3"	886
	"Breast"	"26000"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	36
