"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2000"	"2000"	"Male"	"M"	94
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2001"	"2001"	"Male"	"M"	115
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2002"	"2002"	"Male"	"M"	103
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2003"	"2003"	"Male"	"M"	112
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2004"	"2004"	"Male"	"M"	106
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2005"	"2005"	"Male"	"M"	124
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2006"	"2006"	"Male"	"M"	131
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2007"	"2007"	"Male"	"M"	115
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2008"	"2008"	"Male"	"M"	116
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2009"	"2009"	"Male"	"M"	128
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2010"	"2010"	"Male"	"M"	138
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2011"	"2011"	"Male"	"M"	123
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2012"	"2012"	"Male"	"M"	118
	"Melanoma of the Skin"	"25010"	" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  "	"37980"	"2013"	"2013"	"Male"	"M"	131
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"1999"	"1999"	"Male"	"M"	59
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2000"	"2000"	"Male"	"M"	59
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2001"	"2001"	"Male"	"M"	50
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2002"	"2002"	"Male"	"M"	61
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2003"	"2003"	"Male"	"M"	63
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2004"	"2004"	"Male"	"M"	66
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2005"	"2005"	"Male"	"M"	76
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2006"	"2006"	"Male"	"M"	65
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2007"	"2007"	"Male"	"M"	68
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2008"	"2008"	"Male"	"M"	70
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2009"	"2009"	"Male"	"M"	102
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2010"	"2010"	"Male"	"M"	81
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2011"	"2011"	"Male"	"M"	75
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2012"	"2012"	"Male"	"M"	94
	"Melanoma of the Skin"	"25010"	" Phoenix-Mesa-Scottsdale, AZ  "	"38060"	"2013"	"2013"	"Male"	"M"	80
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"1999"	"1999"	"Male"	"M"	42
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2000"	"2000"	"Male"	"M"	51
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2001"	"2001"	"Male"	"M"	37
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2002"	"2002"	"Male"	"M"	51
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2003"	"2003"	"Male"	"M"	44
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2004"	"2004"	"Male"	"M"	58
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2005"	"2005"	"Male"	"M"	54
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2006"	"2006"	"Male"	"M"	37
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2007"	"2007"	"Male"	"M"	48
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2008"	"2008"	"Male"	"M"	45
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2009"	"2009"	"Male"	"M"	59
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2010"	"2010"	"Male"	"M"	63
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2011"	"2011"	"Male"	"M"	51
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2012"	"2012"	"Male"	"M"	61
	"Melanoma of the Skin"	"25010"	" Pittsburgh, PA  "	"38300"	"2013"	"2013"	"Male"	"M"	41
	"Melanoma of the Skin"	"25010"	" Portland-South Portland, ME  "	"38860"	"2010"	"2010"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Portland-South Portland, ME  "	"38860"	"2012"	"2012"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"1999"	"1999"	"Male"	"M"	33
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2000"	"2000"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2001"	"2001"	"Male"	"M"	42
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2002"	"2002"	"Male"	"M"	35
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2003"	"2003"	"Male"	"M"	42
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2004"	"2004"	"Male"	"M"	37
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2005"	"2005"	"Male"	"M"	37
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2006"	"2006"	"Male"	"M"	36
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2007"	"2007"	"Male"	"M"	27
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2008"	"2008"	"Male"	"M"	33
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2009"	"2009"	"Male"	"M"	42
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2010"	"2010"	"Male"	"M"	34
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2011"	"2011"	"Male"	"M"	55
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2012"	"2012"	"Male"	"M"	46
	"Melanoma of the Skin"	"25010"	" Portland-Vancouver-Hillsboro, OR-WA  "	"38900"	"2013"	"2013"	"Male"	"M"	43
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"1999"	"1999"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2000"	"2000"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2001"	"2001"	"Male"	"M"	39
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2002"	"2002"	"Male"	"M"	28
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2003"	"2003"	"Male"	"M"	21
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2004"	"2004"	"Male"	"M"	39
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2005"	"2005"	"Male"	"M"	28
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2006"	"2006"	"Male"	"M"	40
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2007"	"2007"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2008"	"2008"	"Male"	"M"	22
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2009"	"2009"	"Male"	"M"	39
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2010"	"2010"	"Male"	"M"	34
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2011"	"2011"	"Male"	"M"	35
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2012"	"2012"	"Male"	"M"	29
	"Melanoma of the Skin"	"25010"	" Providence-Warwick, RI-MA  "	"39300"	"2013"	"2013"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" Raleigh, NC  "	"39580"	"2007"	"2007"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Raleigh, NC  "	"39580"	"2008"	"2008"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Raleigh, NC  "	"39580"	"2009"	"2009"	"Male"	"M"	24
	"Melanoma of the Skin"	"25010"	" Raleigh, NC  "	"39580"	"2011"	"2011"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Raleigh, NC  "	"39580"	"2013"	"2013"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2000"	"2000"	"Male"	"M"	16
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2001"	"2001"	"Male"	"M"	27
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2004"	"2004"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2005"	"2005"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2007"	"2007"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2008"	"2008"	"Male"	"M"	22
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2009"	"2009"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2010"	"2010"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2011"	"2011"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2012"	"2012"	"Male"	"M"	21
	"Melanoma of the Skin"	"25010"	" Richmond, VA  "	"40060"	"2013"	"2013"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"1999"	"1999"	"Male"	"M"	40
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2000"	"2000"	"Male"	"M"	47
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2001"	"2001"	"Male"	"M"	59
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2002"	"2002"	"Male"	"M"	51
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2003"	"2003"	"Male"	"M"	58
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2004"	"2004"	"Male"	"M"	70
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2005"	"2005"	"Male"	"M"	47
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2006"	"2006"	"Male"	"M"	69
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2007"	"2007"	"Male"	"M"	63
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2008"	"2008"	"Male"	"M"	70
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2009"	"2009"	"Male"	"M"	64
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2010"	"2010"	"Male"	"M"	61
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2011"	"2011"	"Male"	"M"	75
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2012"	"2012"	"Male"	"M"	73
	"Melanoma of the Skin"	"25010"	" Riverside-San Bernardino-Ontario, CA  "	"40140"	"2013"	"2013"	"Male"	"M"	70
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"1999"	"1999"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2000"	"2000"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2002"	"2002"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2005"	"2005"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2006"	"2006"	"Male"	"M"	17
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2007"	"2007"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2008"	"2008"	"Male"	"M"	24
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2009"	"2009"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2010"	"2010"	"Male"	"M"	21
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2011"	"2011"	"Male"	"M"	29
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2012"	"2012"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Rochester, NY  "	"40380"	"2013"	"2013"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"1999"	"1999"	"Male"	"M"	22
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2000"	"2000"	"Male"	"M"	29
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2001"	"2001"	"Male"	"M"	31
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2002"	"2002"	"Male"	"M"	32
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2003"	"2003"	"Male"	"M"	24
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2004"	"2004"	"Male"	"M"	33
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2005"	"2005"	"Male"	"M"	39
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2006"	"2006"	"Male"	"M"	24
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2007"	"2007"	"Male"	"M"	45
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2008"	"2008"	"Male"	"M"	46
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2009"	"2009"	"Male"	"M"	29
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2010"	"2010"	"Male"	"M"	38
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2011"	"2011"	"Male"	"M"	50
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2012"	"2012"	"Male"	"M"	43
	"Melanoma of the Skin"	"25010"	" Sacramento-Roseville-Arden-Arcade, CA  "	"40900"	"2013"	"2013"	"Male"	"M"	45
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"1999"	"1999"	"Male"	"M"	43
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2000"	"2000"	"Male"	"M"	44
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2001"	"2001"	"Male"	"M"	49
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2002"	"2002"	"Male"	"M"	44
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2003"	"2003"	"Male"	"M"	48
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2004"	"2004"	"Male"	"M"	44
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2005"	"2005"	"Male"	"M"	50
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2006"	"2006"	"Male"	"M"	68
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2007"	"2007"	"Male"	"M"	45
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2008"	"2008"	"Male"	"M"	53
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2009"	"2009"	"Male"	"M"	61
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2010"	"2010"	"Male"	"M"	57
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2011"	"2011"	"Male"	"M"	55
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2012"	"2012"	"Male"	"M"	68
	"Melanoma of the Skin"	"25010"	" St. Louis, MO-IL  "	"41180"	"2013"	"2013"	"Male"	"M"	48
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2002"	"2002"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2005"	"2005"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2006"	"2006"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2009"	"2009"	"Male"	"M"	21
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2010"	"2010"	"Male"	"M"	23
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2011"	"2011"	"Male"	"M"	25
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2012"	"2012"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" Salt Lake City, UT  "	"41620"	"2013"	"2013"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"1999"	"1999"	"Male"	"M"	31
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2000"	"2000"	"Male"	"M"	30
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2001"	"2001"	"Male"	"M"	25
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2002"	"2002"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2003"	"2003"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2004"	"2004"	"Male"	"M"	23
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2005"	"2005"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2006"	"2006"	"Male"	"M"	25
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2007"	"2007"	"Male"	"M"	27
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2008"	"2008"	"Male"	"M"	28
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2009"	"2009"	"Male"	"M"	25
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2010"	"2010"	"Male"	"M"	30
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2011"	"2011"	"Male"	"M"	21
	"Melanoma of the Skin"	"25010"	" San Antonio-New Braunfels, TX  "	"41700"	"2012"	"2012"	"Male"	"M"	25
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"1999"	"1999"	"Male"	"M"	60
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2000"	"2000"	"Male"	"M"	47
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2001"	"2001"	"Male"	"M"	63
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2002"	"2002"	"Male"	"M"	61
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2003"	"2003"	"Male"	"M"	49
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2004"	"2004"	"Male"	"M"	73
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2005"	"2005"	"Male"	"M"	59
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2006"	"2006"	"Male"	"M"	67
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2007"	"2007"	"Male"	"M"	60
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2008"	"2008"	"Male"	"M"	74
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2009"	"2009"	"Male"	"M"	65
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2010"	"2010"	"Male"	"M"	77
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2011"	"2011"	"Male"	"M"	67
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2012"	"2012"	"Male"	"M"	76
	"Melanoma of the Skin"	"25010"	" San Diego-Carlsbad, CA  "	"41740"	"2013"	"2013"	"Male"	"M"	73
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"1999"	"1999"	"Male"	"M"	56
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2000"	"2000"	"Male"	"M"	63
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2001"	"2001"	"Male"	"M"	50
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2002"	"2002"	"Male"	"M"	62
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2003"	"2003"	"Male"	"M"	75
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2004"	"2004"	"Male"	"M"	67
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2005"	"2005"	"Male"	"M"	69
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2006"	"2006"	"Male"	"M"	75
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2007"	"2007"	"Male"	"M"	64
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2008"	"2008"	"Male"	"M"	79
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2009"	"2009"	"Male"	"M"	58
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2010"	"2010"	"Male"	"M"	99
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2011"	"2011"	"Male"	"M"	65
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2012"	"2012"	"Male"	"M"	58
	"Melanoma of the Skin"	"25010"	" San Francisco-Oakland-Hayward, CA  "	"41860"	"2013"	"2013"	"Male"	"M"	91
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"1999"	"1999"	"Male"	"M"	23
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2000"	"2000"	"Male"	"M"	19
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2002"	"2002"	"Male"	"M"	22
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2003"	"2003"	"Male"	"M"	20
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2004"	"2004"	"Male"	"M"	23
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2005"	"2005"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2006"	"2006"	"Male"	"M"	35
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2007"	"2007"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2008"	"2008"	"Male"	"M"	26
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2009"	"2009"	"Male"	"M"	18
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2010"	"2010"	"Male"	"M"	29
	"Melanoma of the Skin"	"25010"	" San Jose-Sunnyvale-Santa Clara, CA  "	"41940"	"2011"	"2011"	"Male"	"M"	29
